T/s	S(T)/ms-2
9.06	0.468609907
9.07	0.468093248
9.08	0.467577727
9.09	0.46706334
9.1	0.466550084
9.11	0.466037954
9.12	0.465526947
9.13	0.46501706
9.14	0.464508289
9.15	0.46400063
9.16	0.463494079
9.17	0.462988632
9.18	0.462484288
9.19	0.46198104
9.2	0.461478887
9.21	0.460977824
9.22	0.460477848
9.23	0.459978956
9.24	0.459481143
9.25	0.458984406
9.26	0.458488743
9.27	0.457994149
9.28	0.457500621
9.29	0.457008155
9.3	0.456516748
9.31	0.456026397
9.32	0.455537099
9.33	0.455048849
9.34	0.454561645
9.35	0.454075482
9.36	0.453590359
9.37	0.453106271
9.38	0.452623215
9.39	0.452141188
9.4	0.451660187
9.41	0.451180208
9.42	0.450701248
9.43	0.450223304
9.44	0.449746373
9.45	0.449270451
9.46	0.448795535
9.47	0.448321622
9.48	0.447848709
9.49	0.447376792
9.5	0.446905869
9.51	0.446435937
9.52	0.445966992
9.53	0.44549903
9.54	0.44503205
9.55	0.444566048
9.56	0.444101021
9.57	0.443636966
9.58	0.443173879
9.59	0.442711758
9.6	0.4422506
9.61	0.441790402
9.62	0.44133116
9.63	0.440872872
9.64	0.440415535
9.65	0.439959146
9.66	0.439503702
9.67	0.4390492
9.68	0.438595636
9.69	0.438143009
9.7	0.437691315
9.71	0.437240552
9.72	0.436790716
9.73	0.436341805
9.74	0.435893815
9.75	0.435446745
9.76	0.43500059
9.77	0.434555349
9.78	0.434111018
9.79	0.433667596
9.8	0.433225078
9.81	0.432783462
9.82	0.432342745
9.83	0.431902926
9.84	0.431464
9.85	0.431025965
9.86	0.430588819
9.87	0.430152559
9.88	0.429717182
9.89	0.429282686
9.9	0.428849067
9.91	0.428416323
9.92	0.427984452
9.93	0.42755345
9.94	0.427123316
9.95	0.426694046
9.96	0.426265639
9.97	0.42583809
9.98	0.425411399
9.99	0.424985562
10	0.424560576
10.01	0.42413644
10.02	0.42371315
10.03	0.423290704
10.04	0.4228691
10.05	0.422448334
10.06	0.422028406
10.07	0.421609311
10.08	0.421191048
10.09	0.420773613
10.1	0.420357006
10.11	0.419941223
10.12	0.419526261
10.13	0.419112118
10.14	0.418698793
10.15	0.418286282
